,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD)
0,2021-02-26,33092.97,58352.8,32296.16,46310.72,33092.97,58352.8,32296.16,46310.72,2264443.09646,2264443.09646
1,2021-01-31,28923.63,41950.0,28130.0,33092.98,28923.63,41950.0,28130.0,33092.98,3435639.25794,3435639.25794
2,2020-12-31,19695.87,29300.0,17572.33,28923.63,19695.87,29300.0,17572.33,28923.63,2495281.85622,2495281.85622
3,2020-11-30,13791.0,19863.16,13195.05,19695.87,13791.0,19863.16,13195.05,19695.87,2707064.91117,2707064.91117
4,2020-10-31,10776.59,14100.0,10374.0,13791.0,10776.59,14100.0,10374.0,13791.0,1592619.95449,1592619.95449
5,2020-09-30,11649.51,12050.85,9825.0,10776.59,11649.51,12050.85,9825.0,10776.59,1730389.16018,1730389.16018
6,2020-08-31,11335.46,12468.0,10518.5,11649.51,11335.46,12468.0,10518.5,11649.51,1891193.00713,1891193.00713
7,2020-07-31,9138.08,11444.0,8893.03,11335.46,9138.08,11444.0,8893.03,11335.46,1507827.21494,1507827.21494
8,2020-06-30,9448.27,10380.0,8833.0,9138.55,9448.27,10380.0,8833.0,9138.55,1504745.51792,1504745.51792
9,2020-05-31,8620.0,10067.0,8117.0,9448.27,8620.0,10067.0,8117.0,9448.27,2685340.07851,2685340.07851
10,2020-04-30,6412.14,9460.0,6150.11,8620.0,6412.14,9460.0,6150.11,8620.0,2528373.69112,2528373.69112
11,2020-03-31,8523.61,9188.0,3782.13,6410.44,8523.61,9188.0,3782.13,6410.44,3789768.91313,3789768.91313
12,2020-02-29,9351.71,10500.0,8445.0,8523.61,9351.71,10500.0,8445.0,8523.61,1609726.15456,1609726.15456
13,2020-01-31,7195.24,9578.0,6871.04,9352.89,7195.24,9578.0,6871.04,9352.89,1691323.13778,1691323.13778
14,2019-12-31,7540.63,7750.0,6435.0,7195.23,7540.63,7750.0,6435.0,7195.23,1307026.46794,1307026.46794
15,2019-11-30,9140.86,9513.68,6515.0,7541.89,9140.86,9513.68,6515.0,7541.89,1499118.775,1499118.775
16,2019-10-31,8289.97,10370.0,7300.0,9140.85,8289.97,10370.0,7300.0,9140.85,1446755.85472,1446755.85472
17,2019-09-30,9588.74,10905.87,7710.0,8289.34,9588.74,10905.87,7710.0,8289.34,1116856.47584,1116856.47584
18,2019-08-31,10080.53,12330.7,9320.0,9587.47,10080.53,12330.7,9320.0,9587.47,1201961.57632,1201961.57632
19,2019-07-31,10854.1,13147.08,9060.0,10080.53,10854.1,13147.08,9060.0,10080.53,1886176.06591,1886176.06591
20,2019-06-30,8555.0,13970.0,7444.58,10854.1,8555.0,13970.0,7444.58,10854.1,1689489.64733,1689489.64733
21,2019-05-31,5321.94,9074.26,5316.2,8555.0,5321.94,9074.26,5316.2,8555.0,1498409.89023,1498409.89023
22,2019-04-30,4102.44,5600.0,4067.0,5320.81,4102.44,5600.0,4067.0,5320.81,1126961.3151,1126961.3151
23,2019-03-31,3814.26,4140.0,3670.69,4103.95,3814.26,4140.0,3670.69,4103.95,787190.48925,787190.48925
24,2019-02-28,3434.1,4198.0,3373.1,3813.69,3434.1,4198.0,3373.1,3813.69,861783.986727,861783.986727
25,2019-01-31,3701.23,4069.8,3349.92,3434.1,3701.23,4069.8,3349.92,3434.1,908244.14054,908244.14054
26,2018-12-31,4041.27,4312.99,3156.26,3702.9,4041.27,4312.99,3156.26,3702.9,1591229.14717,1591229.14717
27,2018-11-30,6369.52,6615.15,3652.66,4041.32,6369.52,6615.15,3652.66,4041.32,1210365.44962,1210365.44962
28,2018-10-31,6626.57,7680.0,6205.0,6371.93,6626.57,7680.0,6205.0,6371.93,629922.086219,629922.086219
29,2018-09-30,7011.21,7410.0,6111.0,6626.57,7011.21,7410.0,6111.0,6626.57,1100653.42331,1100653.42331
30,2018-08-31,7735.67,7750.0,5880.0,7011.21,7735.67,7750.0,5880.0,7011.21,1408159.81656,1408159.81656
31,2018-07-31,6391.08,8491.77,6070.0,7730.93,6391.08,8491.77,6070.0,7730.93,1102510.43679,1102510.43679
